yy;cluster;sintesi;modello
2018-06-01;10;115.93404495716095;era5
2018-06-01;13;15.089321162965563;era5
2018-07-01;1;161.06495940685272;era5
2018-07-01;4;5.395829944604117;era5
2018-07-01;7;190.22625188827516;era5
2018-07-01;10;66.6657969256242;era5
2018-07-01;13;12.589963888680494;era5
2018-08-01;1;208.09430623054504;era5
2018-08-01;4;6.6475734072534935;era5
2018-08-01;7;247.89880409240723;era5
2018-08-01;10;110.08428794145584;era5
2018-08-01;13;12.923093267061093;era5
2018-09-01;1;97.96730291843414;era5
2018-09-01;4;13.126545377010885;era5
2018-09-01;7;172.7812593460083;era5
2018-09-01;10;84.98442967732747;era5
2018-09-01;13;16.189367029401993;era5
2018-10-01;1;57.07108983397484;era5
2018-10-01;4;44.69601193407308;era5
2018-10-01;7;146.40245800018312;era5
2018-10-01;10;147.8907742102941;era5
2018-10-01;13;46.66081976007532;era5
2018-11-01;1;22.956588617525995;era5
2018-11-01;4;34.99400520868923;era5
2018-11-01;7;62.75842659473419;era5
2018-11-01;10;99.36926386753719;era5
2018-11-01;13;61.968286019784436;era5
2018-12-01;1;4.205579605328239;era5
2018-12-01;4;20.82536774776552;era5
2018-12-01;7;20.21712247338146;era5
2018-12-01;10;83.77213936050732;era5
2018-12-01;13;117.80915889033565;era5
2019-01-01;1;0.6270014982640078;era5
2019-01-01;4;2.1005173031483655;era5
2019-01-01;7;3.363322496486944;era5
2019-01-01;10;32.19331457913116;era5
2019-01-01;13;53.41701136267296;era5
2019-02-01;1;9.357535022165166;era5
2019-02-01;4;2.8356890118640403;era5
2019-02-01;7;14.380633260682226;era5
2019-02-01;10;25.307388034959633;era5
2019-02-01;13;22.589672172511065;era5
2019-03-01;1;17.28081322293656;era5
2019-03-01;4;6.871542868795602;era5
2019-03-01;7;32.70822905898094;era5
2019-03-01;10;46.181007320682205;era5
2019-03-01;13;24.655027985572815;era5
2019-04-01;1;45.51113188382442;era5
2019-04-01;4;38.0489163958508;era5
2019-04-01;7;108.20615515112877;era5
2019-04-01;10;125.41608989238739;era5
2019-04-01;13;93.46923630325882;era5
2019-05-01;1;85.90579053759575;era5
2019-05-01;4;64.60154818659244;era5
2019-05-01;7;174.28658065795898;era5
2019-05-01;10;205.12881048520407;era5
2019-05-01;13;96.58124496318676;era5
2019-06-01;1;183.67420971393585;era5
2019-06-01;4;16.531572060999665;era5
2019-06-01;7;249.09201030731202;era5
2019-06-01;10;163.75978791713715;era5
2019-06-01;13;19.60912223656972;era5
2019-07-01;1;179.5862659215927;era5
2019-07-01;4;10.505651470370914;era5
2019-07-01;7;244.17122116088868;era5
2019-07-01;10;110.50941340128581;era5
2019-07-01;13;12.37278695459719;era5
2019-08-01;1;228.16856813430786;era5
2019-08-01;4;6.7989992802557735;era5
2019-08-01;7;243.03495502471924;era5
2019-08-01;10;124.07138202587764;era5
2019-08-01;13;17.206674425690263;era5
2019-09-01;1;179.72141027450562;era5
2019-09-01;4;12.317280680200328;era5
2019-09-01;7;248.9410659790039;era5
2019-09-01;10;138.12135676542917;era5
2019-09-01;13;17.158380702689843;era5
2019-10-01;1;128.90511813759804;era5
